ID,sex ,substrate_type,top_acc,top_velocity,svl,tail_length
A,M,SD,1.76,1.7993,5.8,14.4
B,F,SD,39.9078,2.5874,6.8,14.8
C,F,SD,25.9588,2.0226,5.59,14.2
D,M,SD,35.2544,1.8266,5.7,14.4
E,F,SD,47.2995,1.8684,6.1,13
F,F,SD,42.1984,1.5541,6.8,15.2
G,F,SD,34.3342,2.1539,6.6,7.7
H,F,SD,31.3727,1.7377,6.6,14.9
I,F,SD,33.0826,1.834,7.1,11.1
J,M,SD,25.5219,2.1656,6.1,15.5
K,F,SD,36.8447,1.851,6.8,10.3
M,F,SD,25.7206,2.1614,7.8,15.2
N,F,SD,36.7151,2.2627,5.9,13.2
P,F,SD,25.4508,1.8276,6.7,14.2
Q,M,SD,33.0385,1.6026,6.1,14.9
R,F,SD,42.0446,1.6878,5.8,12.9
S,M,SD,28.1498,2.1219,6.7,16.1
T,M,SD,46.7769,2.3827,5.8,14
U,F,SD,40.1168,2.2026,6.2,14.5
V,M,SD,36.3772,2.4677,6.2,14.3
