date,ID,Segment#,Distance,Heading,Incline,DNR,RefugeType,AreaRefuge (m2),TimeS,TimeE,Speed,log10(speed),NumberClutter,log(numberClutter),AD,FID,AirT,SubT,TimeofDay,EscapeBurrow,Size,Sex,AreaFinalR,Substrate Type,PercentSubstrate
may312019,367,1,0.57,150,10,0,VT,28.26,449,455,2.850,0.455,5,0.698970004,1.7,2.9,30,38.3,1040,N,Large,,,MIXED,1.08%
may312019,368,2,3.95,70,-10,4,VT,25,1312,1348,3.292,0.517,3,0.477121255,3.85,3.65,29,37.9,1050,N,Large,Male,25,SAND,7.46%
may312019,366,3,0.26,230,-9,0.5,VT,1.76625,337,343,1.300,0.114,0,#NUM!,2.44,2.1,29,39.4,1030,N,Large,,1.76625,SAND,0.49%
may312019,365,2,0.81,20,8,0,VS,3.14,1343,1359,1.519,0.181,2,0.301029996,1.5,1.25,29,,1018,N,?,,10,SAND,1.53%
may312019,364,2,1.95,110,10,,VT,0.785,1966,1987,2.786,0.445,0,#NUM!,3.2,0.55,29,41.9,958,N,Large,Female,,SAND,3.68%
may312019,363,2,0.73,290,-8,0.4,VT,0.19625,849,859,2.190,0.340,7,0.84509804,0.85,1.42,29,36.8,934,,Small,Female,,MIXED,1.38%
may312019,362,2,1.76,20,-5,0.4,VT,0.04890625,924,945,2.514,0.400,4,0.602059991,2.29,1.75,28,37.4,908,,Small,Female,4.90625,SAND,3.33%
may312019,361,2,2.8,140,0,0.8,VT,0.785,1160,1200,2.100,0.322,2,0.301029996,2.8,0.9,28,35.7,841,Y,Large,Female,12,SAND,5.29%
may292019,351,1,0.15,140,-17,0.15,B,0.00785,271,284,0.346,-0.461,0,#NUM!,2,3.23,28,33,819,Y,Small,,,SAND,0.28%
may292019,352,1,1.2,230,3,0.25,VT,2.26865,464,482,2.000,0.301,5,0.698970004,3.1,3.4,28,33,900,N,,,,SAND,2.27%
may282019,347,3,2.9,340,6,0,VT,0.19625,969,1007,2.289,0.360,9,0.954242509,0,10.8,32,,851,N,,,,SAND,5.48%
may282019,2,1,3.22,0,10,3.9,VT,0.2826,211,251,2.415,0.383,20,1.301029996,0.77,1.45,30.5,,938,N,,,6.420986,MIXED,6.08%
may282019,350,1,1.1,60,7,1,VT,0.2826,401,424,1.435,0.157,0,#NUM!,2.7,2.3,32,,1053,N,,,,SAND,2.08%
may302019,354,2,0.45,220,-3,0.1,VT,0.00785,802,815,1.038,0.016,5,0.698970004,3.25,1.5,28,38.2,850,N,,,,MIXED,0.85%
may302019,355,1,0.49,280,11,0,VT,0.07065,419,480,0.241,-0.618,1,0,4.75,2.98,29,44.5,920,N,Large,Male,,SAND,0.93%
may302019,357,2,0.6,210,0,0.1,VT,0.07065,465,491,0.692,-0.160,3,0.477121255,1.5,0.75,29,40,950,N,,,1.1304,SAND,1.13%
may302019,358,1,1.3,280,0,0,VT,9,859,882,1.696,0.229,0,#NUM!,,,29,40.8,1028,N,,,1.5,SAND,2.46%
may302019,360,2,2.6,190,-6,0,VT,7.065,252,283,2.516,0.401,0,#NUM!,1.92,1,28,40.8,1058,Y,,,7.065,SAND,4.91%
july172018,231,3,0.62,60,5,0.15,,0.037994,305,311,3.100,0.491,2,0.301029996,3.38,1.8,30,31.6,1050,N,,,0.4415625,SAND,1.17%
july182018,1,2,2.27,12,10,0,VS,0.0314,1168,1183,4.540,0.657,6,0.77815125,1.81,7.16,31,38,1201,N,,,0.0314,SAND,4.29%
