ID,date,time,distance_movement,ground_clutter_crossed,time,video_length,speed,bipedal,escape_distance,drawing_notes
A,07.17.18,1050,0.23,1,7,0.233,0.99,,2.53,
A,07.17.18,1050,1.66,5,25,0.833,1.99,,,
A,07.17.18,1050,0.62,2,6,0.2,3.1,,,
B,07.18.20,1201,1.24,6,20,0.667,1.86,,3,
B,07.18.20,1201,2.27,6,15,0.5,4.54,,,
C,05.30.19,1058,0.79,0,no video,,,N,4.94,
C,05.30.19,1058,2.6,0,31,1.033,2.52,N,,
C,05.30.19,1058,1.55,0,21,0.7,2.21,,,
D,05.30.19,1028,1.3,0,23,0.767,1.7,N,4.11,
D,05.30.19,1028,1.24,1,,,,N,,
D,05.30.19,1028,1.1,1,22,0.733,1.5,N,,
D,05.30.19,1028,0.47,0,25,0.833,0.56,N,,
E,05.30.19,950,0.2,10,12,0.4,0.5,N,0.8,ran in or among grass between 1st and 2nd movement
E,05.30.19,950,0.6,3,26,0.867,0.69,N,,
F,05.29.19,900,1.2,5,18,0.6,2,,1.2,
G,05.29.19,819,0.15,0,13,0.433,0.35,N,0.15,
H,05.28.19,851,1.15,3,105,3.5,0.33,,5.35,grass was located right beside points 2 and 3 and veg was located right beside point 4
H,05.28.19,851,1.3,3,no video,,,,,
H,05.28.19,851,2.9,9,38,1.267,2.29,,,
I,05.28.19,938,3.22,20,46,1.533,2.1,,3.86,
J,05.28.19,1053,1.1,0,23,0.767,1.43,,1.65,grass located right by points 2 and 3
J,05.28.19,1053,0.55,4,10,0.333,1.65,,,
K,05.30.19,850,0.2,2,5,0.167,1.2,N,0.65,between points there was a small grass area; another grass patch was the final refuge
K,05.30.19,850,0.45,5,13,0.433,1.04,N,,
L,05.30.20,920,0.49,1,61,2.033,0.24,N,0.49,grass nearby
M,05.31.19,841,1.15,3,40,1.333,0.86,N,3.95,
M,05.31.19,841,2.8,2,40,1.333,2.1,N,,
N,05.31.19,908,0.38,3,10,0.333,1.14,N,4.14,grass and sand near no film area
N,05.31.19,908,2.76,4,21,0.7,3.94,N,,
N,05.31.19,908,1,3,no video,,,N,,
O,05.31.19,934,0.55,3,9,0.3,1.83,,5.71,2 Iva patches near whole trial
O,05.31.19,934,0.73,7,10,0.333,2.19,,,
O,05.31.19,934,2.1,3,no video,,,,,
O,05.31.19,934,2.33,20,no video,,,,,
P,05.31.19,958,0.19,0,7,0.233,0.81,N,2.14,grass nearby
P,05.31.19,958,1.95,0,21,0.7,2.79,N,,
Q,05.31.19,1018,0.85,4,37,1.233,0.69,probably,2.19,
Q,05.31.19,1018,0.81,2,16,0.533,1.52,probably,,
Q,05.31.19,1018,0.53,5,no video,,,probably,,
R,05.31.19,1030,0.088,0,7,0.233,0.38,N,0.588,big grass patch by point 3
R,05.31.19,1030,0.24,0,11,0.367,0.65,N,,
R,05.31.19,1030,0.26,0,6,0.2,1.3,N,,
S,05.30.19,1040,0.57,5,6,0.2,2.85,N,1.17,
S,05.30.19,1040,0.6,6,7,0.233,2.57,N,,
T,05.31.19,1050,3,20,22,0.733,4.09,N,6.95,
T,05.31.19,1050,3.95,3,36,1.2,3.29,Y,,
