date,ID,Segment#,Distance,Heading,Incline,DNR,RefugeType,AreaRefuge (m2),TimeS,TimeE,Speed,NumberClutter,AD,FID,AirT,SubT,TimeofDay,EscapeBurrow,Size,Sex,AreaFinalR,Substrate Type,Clutter
may312019,A,1,0.57,150,10,0,VT,28.26,449,455,2.85,5,1.7,2.9,30,38.3,1040,N,Large,,,MIXED,YES
may312019,A,2,0.6,200,18,0,VT,28.26,544,551,2.571428571,6,1.7,2.9,30,38.3,1040,N,Large,,,MIXED,YES
may312019,B,1,3,100,-2.7,0,VT,10,1270,1312,2.142857143,10,3.85,3.65,29,37.9,1050,N,Large,Male,25,MIXED,YES
may312019,B,2,3.95,70,-10,4,VT,25,1312,1348,3.291666667,3,3.85,3.65,29,37.9,1050,N,Large,Male,25,SAND,YES
may312019,C,1,0.088,170,-9,0.5,VT,1.76625,307,314,0.377142857,0,2.44,2.1,29,39.4,1030,N,Large,,1.76625,SAND,NO
may312019,C,2,0.24,230,-9,0.5,VT,1.76625,320,331,0.654545455,0,2.44,2.1,29,39.4,1030,N,Large,,1.76625,SAND,NO
may312019,C,3,0.26,230,-9,0.5,VT,1.76625,337,343,1.3,0,2.44,2.1,29,39.4,1030,N,Large,,1.76625,SAND,NO
may312019,D,1,0.85,50,-1,0,VS,3.14,1306,1343,0.689189189,4,1.5,1.25,29,,1018,N,?,,10,DEBRIS,YES
may312019,D,2,0.81,20,8,0,VS,3.14,1343,1359,1.51875,3,1.5,1.25,29,,1018,N,?,,10,SAND,YES
may312019,D,3,0.53,20,10,0,VS,3.14,,,,5,1.5,1.25,29,,1018,N,?,,10,SAND,YES
may312019,E,1,0.19,90,-17,0.5,VT,1.76625,1956,1963,0.814285714,,3.2,0.55,29,41.9,958,N,Large,Female,,SAND,NO
may312019,E,2,1.95,110,10,,VT,0.785,1966,1987,2.785714286,,3.2,0.55,29,41.9,958,N,Large,Female,,SAND,NO
may312019,F,1,0.55,0,-11,0.25,VT,0.19625,840,849,1.833333333,3,0.85,1.42,29,36.8,934,,Small,Female,,MIXED,YES
may312019,F,2,0.73,290,-8,0.4,VT,0.19625,849,859,2.19,7,0.85,1.42,29,36.8,934,,Small,Female,,MIXED,YES
may312019,F,3,2.1,340,-11,0.1,VT,0.19625,,,,3,0.85,1.42,29,36.8,934,,Small,Female,,MIXED,YES
may312019,F,4,2.33,270,0,0.3,VT,0.19625,,,,10,0.85,1.42,29,36.8,934,,Small,Female,,MIXED,YES
may312019,G,1,0.38,10,-6,0.3,VT,0.19625,912,922,1.14,3,2.29,1.75,28,37.4,908,,Small,Female,4.90625,SAND,YES
may312019,G,2,1.76,20,-5,0.4,VT,0.04890625,924,945,2.514285714,4,2.29,1.75,28,37.4,908,,Small,Female,4.90625,SAND,YES
may312019,G,3,1,50,10,0.25,VT,0.785,,,,3,2.29,1.75,28,37.4,908,,Small,Female,4.90625,MIXED,YES
may312019,H,1,1.15,220,-3,0.6,VT,0.785,1125,1165,0.8625,3,2.8,0.9,28,35.7,841,Y,Large,Female,12,MIXED,YES
may312019,H,2,2.8,140,0,0.8,VT,0.785,1160,1200,2.1,2,2.8,0.9,28,35.7,841,Y,Large,Female,12,SAND,YES
may292019,I,1,0.15,140,-17,0.15,B,0.00785,271,284,0.346153846,0,2,3.23,28,33,819,Y,Small,,,SAND,NO
may292019,J,1,1.2,230,3,0.25,VT,2.26865,464,482,2,5,3.1,3.4,28,33,900,N,,,,SAND,YES
may282019,K,1,1.15,200,6,0.08,VT,0.2826,418,523,0.328571429,3,0,10.8,32,,851,N,,,,SAND,YES
may282019,K,3,2.9,340,6,0,VT,0.19625,969,1007,2.289473684,9,0,10.8,32,,851,N,,,,SAND,YES
may282019,L,1,3.22,0,10,3.9,VT,0.2826,211,251,2.415,20,0.77,1.45,30.5,,938,N,,,6.420986,MIXED,YES
may282019,M,1,1.1,60,7,1,VT,0.2826,401,424,1.434782609,0,2.7,2.3,32,,1053,N,,,,SAND,NO
may282019,M,2,0.55,70,9,0,VT,0.2826,434,494,0.275,4,2.7,2.3,32,,1053,N,,,,SAND,YES
may302019,N,1,0.2,330,4,0.3,VT,0.00785,790,795,1.2,2,3.25,1.5,28,38.2,850,N,,,,DEBRIS,YES
may302019,N,2,0.45,220,-3,0.1,VT,0.00785,802,815,1.038461538,5,3.25,1.5,28,38.2,850,N,,,,MIXED,YES
may302019,O,1,0.49,280,11,0,VT,0.07065,419,480,0.240983607,1,4.75,2.98,29,44.5,920,N,Large,Male,,SAND,YES
may302019,P,2,0.6,210,0,0.1,VT,0.07065,465,491,0.692307692,3,1.5,0.75,29,40,950,N,,,1.1304,SAND,YES
may302019,Q,1,1.3,280,0,0,VT,9,859,882,1.695652174,0,,,29,40.8,1028,N,,,1.5,SAND,NO
may302019,Q,2,1.24,280,0,0,VT,1.76625,,,,1,,,29,40.8,1028,N,,,1.5,SAND,YES
may302019,Q,3,1.1,260,0,0,VT,1.76625,992,1014,1.5,1,,,29,40.8,1028,N,,,1.5,SAND,YES
may302019,Q,4,0.47,240,0.5,0.5,VT,1.5,1019,1044,0.564,0,,,29,40.8,1028,N,,,1.5,SAND,NO
may302019,R,1,0.79,260,1,0,VT,7.065,,,,0,1.92,1,28,40.8,1058,Y,,,7.065,SAND,NO
may302019,R,2,2.6,190,-6,0,VT,7.065,252,283,2.516129032,0,1.92,1,28,40.8,1058,Y,,,7.065,SAND,NO
may302019,R,3,1.55,170,-10,0,VT,7.065,304,325,2.214285714,0,1.92,1,28,40.8,1058,Y,,,7.065,SAND,NO
july172018,S,1,0.23,80,-5,0.5,,0.0490625,239,246,0.985714286,0,3.38,1.8,30,31.6,1050,N,,,0.4415625,SAND,NO
july172018,S,2,1.66,60,0,0.4,,0.0490625,256,281,1.992,5,3.38,1.8,30,31.6,1050,N,,,0.4415625,SAND,YES
july172018,S,3,0.62,60,5,0.15,,0.037994,305,311,3.1,2,3.38,1.8,30,31.6,1050,N,,,0.4415625,SAND,YES
july182018,T,1,1.24,85,10,0.59,VS,0.07065,1148,1168,1.86,6,1.81,7.16,31,38,1201,N,,,0.0314,MIXED,YES
july182018,T,2,2.27,12,10,0,VS,0.0314,1168,1183,4.54,6,1.81,7.16,31,38,1201,N,,,0.0314,SAND,YES
